ID,id
7436,46351
6313,44893
9156,57803
6631,11245
258,19345
7065,24584
198,51600
829,5168
5972,23276
1971,39392
2834,51749
884,52298
7170,8522
1537,12444
2695,13665
5971,44337
7959,54184
2445,9281
2041,7019
5411,5589
7585,28956
8223,397
6971,51152
7593,20161
4593,20275
7011,45086
7689,56838
8495,43897
5874,21027
6228,4919
3125,2229
3243,21229
675,21274
5670,37169
7083,3556
8377,27504
6821,18797
1002,48307
2063,27080
5969,42473
9254,5144
2420,17929
2980,40600
8984,25673
5321,6957
3912,41240
6289,2615
5187,17916
5698,50480
8757,40994
4857,8955
2392,56416
8168,32648
290,45822
3353,49552
7784,37166
6541,40685
5751,22522
8473,45792
6526,1166
7915,42125
9987,45036
9302,50518
4741,30328
5861,20861
3423,55058
8910,26202
4276,21300
7148,2690
369,4919
548,5995
5855,7801
3,3378
9366,4181
7335,54684
7613,8086
9915,10914
6293,29267
1825,17140
8902,7865
4132,22087
6393,43259
4236,42073
5461,36043
8201,5631
8745,35913
7921,12053
9086,26307
6306,498
2515,2283
6143,22405
5223,32027
9644,35246
3815,51689
3736,19119
1456,5808
1890,29354
3093,16994
1623,9532
6748,54684
1301,28946
9933,1445
8916,53441
5625,13334
7818,25896
5590,55445
7429,8160
8796,31435
5247,58898
8655,27867
8241,31087
684,24965
1157,52475
2710,13094
2401,21461
7611,11663
1731,30366
2610,1277
8644,29140
4651,49294
9427,40852
9137,12204
6988,3223
576,31060
321,37000
9178,54848
3788,55797
3141,45091
2686,21897
2230,27477
186,58869
1489,30142
4839,16061
6154,9789
5461,44172
62,57604
191,11275
9274,28474
5760,30839
7026,27461
2775,32551
4088,54181
8318,956
5133,15618
3285,16889
2665,37021
6429,16233
7023,55615
5691,20102
9660,38465
1287,38437
8428,5070
5422,2223
4010,56645
3524,21101
6113,2995
4955,5494
8777,46426
1700,52699
4231,43060
4404,24494
2982,764
5014,45264
2731,55976
564,23461
7600,34923
4103,51780
8104,12066
722,11877
3173,18453
5158,57649
1677,38003
8073,51953
655,25155
3526,4336
891,35396
4982,7758
607,51679
1926,50484
8286,18732
7544,45802
8185,8475
9550,20551
9402,48724
7089,25836
6039,30155
4594,4093
1364,48050
1085,3103
1111,48849
8888,12342
9361,54245
1822,16305
2662,20518
2228,13671
1494,31111
1253,59266
5104,9936
814,44526
3203,39445
4669,42405
8700,19889
2896,33594
389,33820
2755,51048
6544,11297
2926,22028
1376,25512
3086,7376
1784,3581
3927,2830
1249,25387
6019,30202
1540,47390
7681,21295
2360,50184
5925,47302
7178,1195
7809,30517
9453,56615
3782,45491
2091,21237
1708,27816
8696,52408
1101,56482
6062,26935
9465,2051
991,15490
3866,56111
6388,5826
2172,35883
7231,13479
1199,6362
8037,12580
4199,55300
174,12646
7130,7341
9804,32487
1285,27310
6974,30533
8618,39038
8078,26478
7441,11950
8335,51568
6442,18908
7738,37341
4169,50278
1044,52490
8270,11861
52,17141
3884,18462
6956,1968
4229,2671
1588,17610
2892,51838
6669,54185
7688,21181
472,28310
96,54616
4491,35995
7305,59260
5446,19822
7749,42648
62,14059
7906,15914
5074,42908
3136,46156
8303,10878
8230,42380
8550,47218
2433,269
1131,45881
6480,54611
9880,12562
7104,58307
8372,22382
4163,28983
5731,33201
7827,45015
3164,22130
794,16216
4773,19907
6503,25309
8528,25996
3079,54605
7524,43570
5946,15027
7697,23625
5982,14577
9141,39063
2882,55603
5266,50518
404,53002
3480,12731
3448,36259
1377,11256
3424,51352
1190,29042
3725,48414
5684,54389
6676,31163
9087,38782
7115,3216
369,22390
4502,12530
991,28053
2182,13080
3255,45382
6891,50338
5824,28206
760,13810
865,37059
6675,27840
6625,2184
5808,50660
8047,21690
4676,12622
2399,23639
882,49264
2112,28441
3796,20050
8561,17877
1198,36003
9854,34980
4232,14878
676,25024
242,47597
9500,58396
9109,13222
3073,34494
948,30306
6041,32146
2646,43389
6708,30261
7414,40296
5485,41990
1226,51153
6243,31197
4050,38090
2535,51058
8551,28820
5424,52004
5745,30083
5747,32061
3808,57297
1260,6619
9880,46197
3033,3083
1586,21350
6578,5738
9455,53163
2484,50200
5360,615
2498,9008
6679,25069
2611,34285
5248,30496
3567,11040
914,41932
7543,2994
9113,10001
387,23634
5637,24173
1696,48444
4963,32334
1332,1431
3568,47272
4855,14429
9963,42768
1839,19540
3719,4872
1434,17470
5203,57647
8704,20436
8147,11637
3065,463
911,45534
6751,21317
422,3694
4366,29383
6769,45319
7589,272
8050,25498
2616,30510
351,4390
6487,53012
9502,19972
3578,9832
3225,20370
893,46261
8932,21458
4554,22472
7147,49065
5769,35491
7848,45709
3859,32188
1078,55075
8636,57662
5528,8305
6411,25331
7416,21381
2259,13225
4548,31887
5360,13494
5699,1074
4713,46502
2679,16757
7451,43388
421,48114
6101,12358
8891,25519
6670,34009
6312,43195
9043,36067
5633,21818
338,33929
1123,32135
2321,52130
7319,37400
1956,16219
9108,31624
2105,52193
5796,5776
9139,46813
9112,30113
425,46415
2551,36012
7849,52557
1721,44076
8482,29160
7076,35830
5899,14060
1264,57758
5989,38805
3643,38149
